id,name
012800000,"Ilocos Norte"
012900000,"Ilocos Sur"
013300000,"La Union"
015500000,"Pangasinan"
020900000,"Batanes"
021500000,"Cagayan"
023100000,"Isabela"
025000000,"Nueva Vizcaya"
025700000,"Quirino"
030800000,"Bataan"
031400000,"Bulacan"
034900000,"Nueva Ecija"
035400000,"Pampanga"
036900000,"Tarlac"
037100000,"Zambales"
037700000,"Aurora"
041000000,"Batangas"
042100000,"Cavite"
043400000,"Laguna"
045600000,"Quezon"
045800000,"Rizal"
174000000,"Marinduque"
175100000,"Occidental Mindoro"
175200000,"Oriental Mindoro"
175300000,"Palawan"
175900000,"Romblon"
050500000,"Albay"
051600000,"Camarines Norte"
051700000,"Camarines Sur"
052000000,"Catanduanes"
054100000,"Masbate"
056200000,"Sorsogon"
140100000,"Abra"
141100000,"Benguet"
142700000,"Ifugao"
143200000,"Kalinga"
144400000,"Mountain Province"
148100000,"Apayao"
